url	download_complete
cert.ics.uci.edu/seminar/Nanda/bio.htm	incomplete
www.ics.uci.edu/ugrad/policies/Grade_Options	incomplete
ngs.ics.uci.edu/tag/community-wellbeing	incomplete
asterix.ics.uci.edu	incomplete
mhcid.ics.uci.edu/people/mhcid-faculty-and-staff	incomplete
www.ics.uci.edu/grad	incomplete
honors.ics.uci.edu	incomplete
www.ics.uci.edu/~jpd	incomplete
www.ics.uci.edu/~sharad/projects.html	incomplete
hombao.ics.uci.edu	incomplete
mcs.ics.uci.edu	incomplete
www.ics.uci.edu/ugrad/policies/Withdrawal_Readmission.php	complete
www.ics.uci.edu/grad/admissions/index	complete
www.ics.uci.edu/computing/linux/file-security.php	incomplete
www.ics.uci.edu/ugrad/policies/Academic_Standing	complete
www.ics.uci.edu/ugrad/courses/index	incomplete
www.ics.uci.edu/computing/network	complete
www.ics.uci.edu/faculty/highlights	complete
www.ics.uci.edu/ugrad/resources/ICS_StudentLife_nonTechOpps.php	incomplete
www.ics.uci.edu/faculty/area/area_security.php	incomplete
www.ics.uci.edu/ugrad/resources/ICS_StudentOrgs.php	incomplete
ngs.ics.uci.edu/category/technical-thoughts	incomplete
www.ics.uci.edu/grad/policies/GradPolicies_CommitteeMembers.php	incomplete
futurehealth.ics.uci.edu	incomplete
www.ics.uci.edu/grad/policies/GradPolicies_SexualHarassment.php	incomplete
ngs.ics.uci.edu/research/books	incomplete
www.ics.uci.edu/ugrad/resources/index	incomplete
www.ics.uci.edu/grad/policies/index.php	incomplete
www.ics.uci.edu/community/alumni/index.php	complete
www.ics.uci.edu/community	incomplete
emj.ics.uci.edu/papers/cognition-papers	incomplete
www.ics.uci.edu/prospective	incomplete
mhcid.ics.uci.edu/faq	incomplete
www.ics.uci.edu/ugrad/internship	incomplete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
www.ics.uci.edu/community/events/openhouse/dedication.html	incomplete
cert.ics.uci.edu/seminar/Nanda/abstract.htm	incomplete
support.ics.uci.edu/passwd	incomplete
www.ics.uci.edu/~redmiles/research.html	incomplete
mhcid.ics.uci.edu/program/capstone-projects	incomplete
emj.ics.uci.edu/talks	incomplete
www.ics.uci.edu/computing/account/new	incomplete
ngs.ics.uci.edu/professionalsocial/interviews	complete
emj.ics.uci.edu/software/cambium-model-translation-software	incomplete
mhcid.ics.uci.edu/admissions/admissions-overview	incomplete
www.ics.uci.edu/ugrad/sao/Course_updates.php	incomplete
isg.ics.uci.edu/people.html	incomplete
radicle.ics.uci.edu	incomplete
www.ics.uci.edu/grad/admissions	incomplete
www.ics.uci.edu/involved/tech_talk.php	incomplete
fr.ics.uci.edu	incomplete
ngs.ics.uci.edu/author/ramesh	incomplete
asterixdb.ics.uci.edu	incomplete
www.ics.uci.edu/faculty/area/area_multimedia.php	incomplete
cert.ics.uci.edu/board.html	complete
mhcid.ics.uci.edu/program/about-the-program	incomplete
www.ics.uci.edu/ugrad/policies/Readmission_DQ.php	complete
swiki.ics.uci.edu/feed.php	incomplete
www.ics.uci.edu/ugrad/resources	incomplete
www.ics.uci.edu/~emj/index_2012.html	complete
emj.ics.uci.edu/papers/modeling-frameworks-papers	incomplete
www.ics.uci.edu/faculty/area/area_embedded.php	incomplete
www.ics.uci.edu/community/alumni	incomplete
isg.ics.uci.edu/isg_photo.html	incomplete
www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption.php	complete
www.ics.uci.edu/faculty/area/area_vision.php	incomplete
www.ics.uci.edu/ugrad/QA_Graduation	incomplete
cert.ics.uci.edu/EMWS09/index.html	incomplete
www.ics.uci.edu/ugrad/policies/CS199_IN4MATX199	incomplete
www.ics.uci.edu/about/bren	incomplete
swiki.ics.uci.edu/doku.php/start	incomplete
www.ics.uci.edu/~mjcarey/MJCarey_Prior_Research_Funding.html	complete
www.ics.uci.edu/about/equity	complete
www.ics.uci.edu/involved/information_session.php	complete
www.ics.uci.edu/computing/linux/services.php	complete
www.ics.uci.edu/about/bren/bren_advance.php	complete
www.ics.uci.edu/about/brenhall/index.php	complete
www.ics.uci.edu/about/bren/gallery/gallery_12_jpg.php	complete
www.ics.uci.edu/grad/degrees/index	complete
www.ics.uci.edu/ugrad/degrees/Minors.php	complete
www.ics.uci.edu/statistics/grad/index.php	complete
ngs.ics.uci.edu/tag/foodie	complete
www.ics.uci.edu/faculty/area/area_scientific.php	complete
www.ics.uci.edu/computing/linux/shell.php	complete
www.ics.uci.edu/about/about_mission.php	complete
www.ics.uci.edu/ugrad/policies/Taking courses for readmission after DQ.php	complete
www.ics.uci.edu/ugrad/sao/Appts_Walk-Ins.php	complete
www.ics.uci.edu/ugrad/sao/Course_updates	complete
ngs.ics.uci.edu/professionalsocial/recognitions	incomplete
mhcid.ics.uci.edu/program/events	complete
emj.ics.uci.edu/i-htm	complete
ngs.ics.uci.edu/personal/favorite-quotes	incomplete
emj.ics.uci.edu/projects	complete
emj.ics.uci.edu/papers/machine-learning-papers	complete
www.ics.uci.edu/~yunh/research.html	incomplete
www.ics.uci.edu/involved/corporate_partner	complete
www.ics.uci.edu/~sharad	complete
www.ics.uci.edu/about/bren/bren_press.php	complete
mhcid.ics.uci.edu/people/mentors	complete
www.ics.uci.edu/about/bren/gallery/gallery_13_jpg.php	complete
fr.ics.uci.edu/haiti	incomplete
ngs.ics.uci.edu/tag/foodlog	incomplete
www.ics.uci.edu/about/about_meet_the_dean.php	complete
isg.ics.uci.edu	incomplete
www.ics.uci.edu/computing/email/google_setup.php	complete
www.ics.uci.edu/faculty/area/area_cscw.php	complete
www.ics.uci.edu/computing/linux/security.php	complete
www.ics.uci.edu/community/alumni/stayconnected/index.php	incomplete
ngs.ics.uci.edu/personal/education	incomplete
emj.ics.uci.edu/phd-theses	incomplete
www.ics.uci.edu/~emj/research.html	incomplete
www.ics.uci.edu/grad/funding/index	incomplete
mhcid.ics.uci.edu/people/current-students	incomplete
ngs.ics.uci.edu/research/research-papers/computer-vision	incomplete
cml.ics.uci.edu	incomplete
ngs.ics.uci.edu/personal/past-affiliations	incomplete
sconce.ics.uci.edu/134-W15/book.html	incomplete
ngs.ics.uci.edu/partners/past-students	incomplete
www.ics.uci.edu/about/bren/gallery	complete
emj.ics.uci.edu/cv	incomplete
www.ics.uci.edu/community/alumni/hall_of_fame/inductees.php	incomplete
cert.ics.uci.edu/directions.html	incomplete
mhcid.ics.uci.edu/program/curriculum	incomplete
ngs.ics.uci.edu/about-ramesh/events	incomplete
www.ics.uci.edu/grad/courses	incomplete
www.ics.uci.edu/involved/leadership_council.php	complete
swiki.ics.uci.edu/doku.php/services:webmail	complete
www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption	incomplete
www.ics.uci.edu/ugrad/sao	complete
www.ics.uci.edu/faculty/area/area_data.php	incomplete
www.ics.uci.edu/grad/policies/GradPolicies_TransferCredit.php	complete
www.ics.uci.edu/grad/policies/GradPolicies_CandidacyCommittee.php	complete
www.ics.uci.edu/community/news/press	incomplete
emj.ics.uci.edu/papers/optimization-papers	incomplete
www.ics.uci.edu/ugrad/QA_Petitions.php	incomplete
www.ics.uci.edu/~wayne/research/students	incomplete
www.ics.uci.edu/involved/internship.php	incomplete
www.ics.uci.edu/computing/contact	incomplete
www.ics.uci.edu/faculty/area/area_software.php	incomplete
www.ics.uci.edu/about	incomplete
www.ics.uci.edu/grad/courses/index	incomplete
emj.ics.uci.edu/2012/12	incomplete
www.ics.uci.edu/community/events/competition	incomplete
emj.ics.uci.edu/papers/computational-field-geology	incomplete
mhcid.ics.uci.edu/people/mhcid-current-students	complete
vision.ics.uci.edu	incomplete
www.ics.uci.edu/computing/services/microsoft_imagine_error.php	complete
www.ics.uci.edu/computing/account/quota.php	complete
ngs.ics.uci.edu/tag/food	complete
ngs.ics.uci.edu/controlling-health	incomplete
www.ics.uci.edu/~redmiles/students.html	incomplete
www.ics.uci.edu/faculty	incomplete
www.ics.uci.edu/about/search/index.php	incomplete
www.ics.uci.edu/computing/email/group_email.php	incomplete
www.ics.uci.edu/computing/email	complete
www.ics.uci.edu/faculty/area/area_hci.php	incomplete
emj.ics.uci.edu/software/software-computational-biology	incomplete
ngs.ics.uci.edu/personal/favorite-books	incomplete
www.ics.uci.edu/grad/index.php	incomplete
www.ics.uci.edu/about/bren/bren_vision.php	incomplete
www.ics.uci.edu/~lab	incomplete
www.ics.uci.edu/computing/policy/ethics_summary.php	incomplete
www.ics.uci.edu/~redmiles/interests.html	incomplete
ngs.ics.uci.edu/teaching/past-courses	incomplete
cert.ics.uci.edu/motivation.html	incomplete
ngs.ics.uci.edu/tag/health	complete
www.ics.uci.edu/ugrad/policies/Computer_Ethics.php	complete
www.ics.uci.edu/~mjcarey/MJCarey_Contact.html	incomplete
www.ics.uci.edu/~dvk	incomplete
www.ics.uci.edu/grad/policies/GradPolicies_MSThesisOption.php	incomplete
www.ics.uci.edu/ugrad/policies/Course_Outside_UCI	incomplete
ngs.ics.uci.edu/teaching	incomplete
www.ics.uci.edu/~chenli	incomplete
www.ics.uci.edu/~franz	incomplete
ngs.ics.uci.edu/tag/situation-awareness	incomplete
www.ics.uci.edu/ugrad/QA_Petitions	complete
ngs.ics.uci.edu/blog	complete
www.ics.uci.edu/community/scholarships/index	incomplete
intranet.ics.uci.edu	incomplete
www.ics.uci.edu/about/brenhall	incomplete
emj.ics.uci.edu/research-opportunities	incomplete
emj.ics.uci.edu/papers	complete
www.ics.uci.edu/~mjcarey/MJCarey_PhD_Students_Supervised.html	incomplete
www.ics.uci.edu/involved/project_class	incomplete
www.ics.uci.edu/computing/account/new.php	incomplete
www.ics.uci.edu/about/bren/gallery/gallery_01_jpg.php	complete
www.ics.uci.edu/about/about_factsfigures.php	incomplete
www.ics.uci.edu/about/bren/gallery/gallery_10_jpg.php	complete
netreg.ics.uci.edu	complete
www.ics.uci.edu/computing/policy	complete
www.ics.uci.edu/~emj/people.html	complete
www.ics.uci.edu/~redmiles	complete
www.ics.uci.edu/computing/contact/who.php	complete
mhcid.ics.uci.edu	complete
ngs.ics.uci.edu/research/projects	complete
isg.ics.uci.edu/index.html	complete
cert.ics.uci.edu	complete
www.ics.uci.edu/faculty/area/area_systems.php	complete
www.ics.uci.edu/computing/linux/gsu.php	complete
ngs.ics.uci.edu/personal	complete
www.ics.uci.edu/computing/linux/sge.php	complete
www.ics.uci.edu/grad/admissions/Prospective_ApplicationProcess.php	complete
swiki.ics.uci.edu/doku.php/announce:announce	complete
swiki.ics.uci.edu/doku.php/projects:maint-spring-2018	complete
www.ics.uci.edu/about/bren/gallery/gallery_08_jpg.php	complete
www.ics.uci.edu/grad/forms/index.php	incomplete
www.ics.uci.edu/ugrad/policies/Laptop_ComputerUse	complete
www.ics.uci.edu/involved	complete
www.ics.uci.edu/~yunh/activities.html	incomplete
emj.ics.uci.edu/wp-login.php	complete
emj.ics.uci.edu/category/uncategorized	complete
emj.ics.uci.edu/projects/computational-biology-projects	complete
www.ics.uci.edu/~cs224	incomplete
www.ics.uci.edu/faculty/area/area_social.php	complete
isg.ics.uci.edu/research.html	incomplete
isg.ics.uci.edu/publications.html	incomplete
www.ics.uci.edu/about/bren/gallery/gallery_03_jpg.php	complete
www.ics.uci.edu/~kobsa	incomplete
ngs.ics.uci.edu/tag/quantified-self	incomplete
www.ics.uci.edu/~ics143	incomplete
www.ics.uci.edu/computing/account/activate.php	complete
computableplant.ics.uci.edu/alphasite/index.html	incomplete
isg.ics.uci.edu/partnerships.html	incomplete
www.ics.uci.edu/grad/admissions/Prospective_Re-applying.php	incomplete
www.ics.uci.edu/ugrad/resources/Campus_Resources.php	complete
isg.ics.uci.edu/news.html	incomplete
www.ics.uci.edu/computing/services/printing.php	incomplete
sprout.ics.uci.edu	incomplete
www.ics.uci.edu/grad/policies/GradPolicies_ComprehensiveExam.php	incomplete
www.ics.uci.edu/faculty/centers/index.php	complete
www.ics.uci.edu/grad/policies/GradPolicies_Defense.php	complete
www.ics.uci.edu/about/visit/index.php	incomplete
www.ics.uci.edu/community/news/student_blogs	incomplete
www.ics.uci.edu/ugrad/policies/Grade_Options.php	incomplete
emj.ics.uci.edu/grand-questions	complete
ngs.ics.uci.edu/partners/current-students	incomplete
mhcid.ics.uci.edu/admissions/information-session-2	incomplete
www.ics.uci.edu/grad/funding/index.php	complete
www.ics.uci.edu/computing/policy/ethics.php	incomplete
www.ics.uci.edu/about/bren/index.php	incomplete
www.ics.uci.edu/ugrad/degrees/Second_BA.php	incomplete
www.ics.uci.edu/faculty/area/area_compgraphics.php	incomplete
www.ics.uci.edu/ugrad/policies/Withdrawal_Readmission	complete
www.ics.uci.edu/~sharad/pubs.html	incomplete
www.ics.uci.edu/grad/forms/index	complete
www.ics.uci.edu/ugrad/policies/Academic_Standing.php	incomplete
www.ics.uci.edu/grad/policies	complete
elnino.ics.uci.edu	complete
cert.ics.uci.edu/index.html	incomplete
www.ics.uci.edu/~nalini	incomplete
swiki.ics.uci.edu/doku.php/announce:spring-2018	incomplete
sconce.ics.uci.edu/134-W15/cs134.html	incomplete
www.ics.uci.edu/~emj/newsletter.html	incomplete
www.ics.uci.edu/computing/web/personalpage.php	incomplete
www.ics.uci.edu/computing/account/renewal.php	incomplete
isg.ics.uci.edu/visitors.html	incomplete
emj.ics.uci.edu/comments/feed	incomplete
ngs.ics.uci.edu/health-intelligence	incomplete
www.ics.uci.edu/~mjcarey/index.html	incomplete
isg.ics.uci.edu/scalable_dm_lectures2009-10.html	complete
ngs.ics.uci.edu/techology-propels-health	incomplete
www.ics.uci.edu/grad/policies/GradPolicies_PreviousMSdegree.php	complete
www.ics.uci.edu/grad/degrees	incomplete
www.ics.uci.edu/ugrad/Credit By Exam Information.php	incomplete
ngs.ics.uci.edu/digital-india-a-potentially-transformative-opportunity	incomplete
emj.ics.uci.edu	incomplete
emj.ics.uci.edu/projects/computational-biology-projects/computable-plant-project	incomplete
www.ics.uci.edu/~redmiles/publications.html	complete
emj.ics.uci.edu/papers/computational-biology-papers	incomplete
www.ics.uci.edu/about/annualreport	incomplete
www.ics.uci.edu/grad/degrees/degree_cs.php	incomplete
www.ics.uci.edu/~sharad/students.html	complete
www.ics.uci.edu/faculty/area/area_compdesign.php	incomplete
www.ics.uci.edu/about/bren/gallery/gallery_02_jpg.php	incomplete
www.ics.uci.edu/ugrad/policies/Computer_Acct_Backup.php	incomplete
www.ics.uci.edu/computing/web/faqs.php	complete
ngs.ics.uci.edu/entrepreneur	incomplete
www.ics.uci.edu/faculty/area/area_network.php	incomplete
www.ics.uci.edu/~dsm/cypress	incomplete
www.ics.uci.edu/ugrad/courses/index.php	incomplete
ngs.ics.uci.edu/partners	incomplete
ngs.ics.uci.edu/research/research-papers	incomplete
www.ics.uci.edu/grad/forms	incomplete
gats.ics.uci.edu//tracker	incomplete
www.ics.uci.edu/ugrad/policies/Academic_Honesty.php	incomplete
www.ics.uci.edu/~emj/opportunities.html	incomplete
www.ics.uci.edu/ugrad/index	incomplete
www.ics.uci.edu/about/visit/index	incomplete
www.ics.uci.edu/faculty/centers	incomplete
ngs.ics.uci.edu/ai-contextual-reasoning-learning	incomplete
ngs.ics.uci.edu/research/patents	incomplete
www.ics.uci.edu/community/news	incomplete
www.ics.uci.edu/involved/corporate_partner.php	incomplete
www.ics.uci.edu/computing/account	incomplete
www.ics.uci.edu/ugrad/degrees	incomplete
www.ics.uci.edu/ugrad/policies/Computer_RemoteAccess.php	complete
www.ics.uci.edu/grad/courses/index.php	complete
ngs.ics.uci.edu/research	complete
www.ics.uci.edu/grad/index	complete
www.ics.uci.edu/ugrad/policies/Course_Outside_UCI.php	complete
ngs.ics.uci.edu/tag/situation-recognition	complete
www.ics.uci.edu/community/news/index.php	incomplete
www.ics.uci.edu/computing/linux/tools.php	complete
ngs.ics.uci.edu/researcher	complete
www.ics.uci.edu/ugrad/policies/CS199_IN4MATX199.php	complete
cert.ics.uci.edu/initiatives.html	complete
www.ics.uci.edu/grad/admissions/index.php	complete
www.ics.uci.edu/~yunh/publications.html	complete
www.ics.uci.edu/computing/policy/index.php	complete
www.ics.uci.edu/~yunh	complete
www.ics.uci.edu/~gts	complete
www.ics.uci.edu	complete
www.ics.uci.edu/~cs122a	complete
www.ics.uci.edu/~cs122b	complete
www.ics.uci.edu/faculty/area	complete
ngs.ics.uci.edu/i-htm	complete
ngs.ics.uci.edu/research/research-papers/multimedia-information-management	complete
www.ics.uci.edu/about/bren/gallery/gallery_15_jpg.php	complete
swiki.ics.uci.edu	complete
emj.ics.uci.edu/reviews-and-tutorials	complete
www.ics.uci.edu/grad/policies/index	complete
sconce.ics.uci.edu/134-W15	complete
www.ics.uci.edu/ugrad/sao/index	complete
www.ics.uci.edu/grad/resources.php	complete
ngs.ics.uci.edu/tag/challenge-for-machine-learning	incomplete
emj.ics.uci.edu/papers/neural-network-papers	incomplete
www.ics.uci.edu/grad/degrees/index.php	complete
ngs.ics.uci.edu/research/presentations	incomplete
www.ics.uci.edu/~goodrich	incomplete
www.ics.uci.edu/~mjcarey	complete
ngs.ics.uci.edu/category/general-updates	incomplete
www.ics.uci.edu/ugrad/policies/Readmission_AP.php	complete
webmail.ics.uci.edu	complete
www.ics.uci.edu/grad/policies/GradPolicies_TeachingReqt.php	complete
ngs.ics.uci.edu/blog/page/2	incomplete
www.ics.uci.edu/ugrad/internship/index.php	complete
www.ics.uci.edu/computing/email/thunderbird_setup.php	complete
www.ics.uci.edu/faculty/highlights/index.php	complete
www.ics.uci.edu/grad/policies/GradPolicies_ResidencyReqt.php	incomplete
www.ics.uci.edu/~cs237	incomplete
www.ics.uci.edu/~yunh/index.html	incomplete
ngs.ics.uci.edu/entrepreneurship	incomplete
emj.ics.uci.edu/author/emj	complete
www.ics.uci.edu/computing/services/sophos_mac.php	incomplete
cert.ics.uci.edu/seminarseries.html	incomplete
www.ics.uci.edu/computing/email/google_apps.php	incomplete
www.ics.uci.edu/computing/linux/access.php	complete
mhcid.ics.uci.edu/admissions/costs-and-financial-aid	incomplete
www.ics.uci.edu/computing/account/password.php	incomplete
www.ics.uci.edu/ugrad/resources/Title_IX_Resources.php	incomplete
www.ics.uci.edu/faculty/area/area_biomed.php	complete
ngs.ics.uci.edu/about-ramesh/news	incomplete
www.ics.uci.edu/about/search/search_graduate_all.php	incomplete
www.ics.uci.edu/ugrad/degrees/Double_Majors.php	incomplete
www.ics.uci.edu/computing/email/delivery_point.php	incomplete
www.ics.uci.edu/faculty/area/area_stats.php	incomplete
www.ics.uci.edu/~mjcarey/MJCarey_Invited_Lectures.html	incomplete
emj.ics.uci.edu/about	incomplete
www.ics.uci.edu/faculty/area/area_environmental.php	incomplete
www.ics.uci.edu/ugrad/degrees/index.php	incomplete
www.ics.uci.edu/~mjcarey/MJCarey_Publications.html	incomplete
swiki.ics.uci.edu/doku.php/announce:winter-2018	complete
www.ics.uci.edu/faculty/area/area_ai.php	incomplete
ngs.ics.uci.edu/partners/collaborators	incomplete
mcs.ics.uci.edu/prospective-students/application-process	incomplete
cert.ics.uci.edu/people.html	incomplete
www.ics.uci.edu/community/scholarships/index.php	incomplete
www.ics.uci.edu/about/about_deanmsg.php	incomplete
www.ics.uci.edu/community/friends/leadershipcouncil/index.php	incomplete
www.ics.uci.edu/~mjcarey/MJCarey_Professional_Experience.html	incomplete
ngs.ics.uci.edu/tag/objective-self	incomplete
www.ics.uci.edu/~redmiles/teaching.html	incomplete
ngs.ics.uci.edu/professionalsocial/services	incomplete
www.ics.uci.edu/grad/policies/GradPolicies_CopyrightInfringement.php	incomplete
www.ics.uci.edu/ugrad/policies/Computer_Copyrights.php	incomplete
www.ics.uci.edu/dept	incomplete
www.ics.uci.edu/ugrad/policies	incomplete
swiki.ics.uci.edu/doku.php/slides	incomplete
www.ics.uci.edu/ugrad/policies/Computer_DisciplinaryProcedures.php	incomplete
computableplant.ics.uci.edu/papers	incomplete
www.ics.uci.edu/~redmiles/schedule.html	incomplete
www.ics.uci.edu/computing/services/sophos_win.php	incomplete
ngs.ics.uci.edu/healthy-foodie	complete
ngs.ics.uci.edu/tag/foodtech	incomplete
www.ics.uci.edu/about/bren/gallery/gallery_05_jpg.php	incomplete
www.ics.uci.edu/ugrad/QA_Graduation.php	incomplete
www.ics.uci.edu/computing/account/mapdrive_mac.php	incomplete
i-sensorium.ics.uci.edu	incomplete
www.ics.uci.edu/computerscience	incomplete
www.ics.uci.edu/faculty/area/area_medical.php	incomplete
www.ics.uci.edu/computing/email/thunderbird_Gmail.php	complete
www.ics.uci.edu/ugrad/sao/SAO_Events.php	incomplete
cert.ics.uci.edu/SAFIRE	incomplete
www.ics.uci.edu/grad/resources	incomplete
sherlock.ics.uci.edu	incomplete
www.ics.uci.edu/~emj/Mjolsness_CV_V67p.htm	incomplete
www.ics.uci.edu/faculty/area/index.php	incomplete
www.ics.uci.edu/involved/project_class.php	complete
www.ics.uci.edu/~yunh/teaching.html	incomplete
luci.ics.uci.edu	incomplete
duttgroup.ics.uci.edu/doku.php/projects	incomplete
www.ics.uci.edu/computing/email/mailboss.php	incomplete
mhcid.ics.uci.edu/people/industry-advisory-board	complete
emj.ics.uci.edu/software	incomplete
ngs.ics.uci.edu/tag/contextual-reasoning	incomplete
www.ics.uci.edu/computing/contact/helpdesk.php	incomplete
www.ics.uci.edu/about/about_contact.php	incomplete
www.ics.uci.edu/about/bren/gallery/gallery_09_jpg.php	incomplete
